,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,name,popularity
69,0.000193,0.447,0.935,2RxqHa7EgbKHEjYav48eXX,0.00728,8,0.0865,-4.23,1,0.0906,140.03,0.289,228280,In The End,59
72,0.000173,0.3,0.919,2uqEPfIqW5q2GwFRYqzSVF,2.93e-06,1,0.313,-3.992,0,0.0831,140.324,0.305,255185,"Hey Jarrod, What’s That Song Again?",0
74,0.0154,0.48,0.973,5jmyQBmDeNwGbL9iC9nWsQ,0.0,10,0.451,-2.586,0,0.092,94.332,0.495,225311,Shine On,47
77,0.0325,0.336,0.954,78v4gq9OnRtbA6VqjLjnFc,0.0,11,0.0529,-4.188,0,0.152,104.131,0.25,215077,Fly,46
79,0.0012,0.371,0.799,4iJmsECblU8KyVsNYixjWn,0.000371,0,0.122,-5.597,0,0.037,138.178,0.178,419565,Open Water (feat. Lights),0
81,0.000203,0.47,0.984,2PCqrcc4ruQ0VkvCRn3ErP,3e-05,8,0.301,-3.112,1,0.205,140.043,0.251,259813,I Am,48
83,0.288,0.234,0.651,2mqW7MEAhJ8zXdIb8TUQoX,0.00699,4,0.1,-7.415,0,0.0569,129.825,0.0395,128973,Reflections,24
85,0.0275,0.562,0.679,7id6BbuOj3TA43Sviybxdh,0.0,8,0.0515,-4.798,1,0.0412,143.006,0.303,293510,LionHeart,0
87,0.0333,0.477,0.663,3NRhy4mzDwQc6IgPwyQM1x,0.0,6,0.145,-5.793,0,0.0285,94.084,0.344,222440,Be Somebody,58
91,0.000406,0.35,0.837,5VvyvswyhAXSTOfke5CMRc,1.34e-06,9,0.0838,-4.431,0,0.0406,162.027,0.0924,259629,Here I Am,0
93,0.000108,0.552,0.988,14EORgkbXqIx5K4Haucmnb,0.309,1,0.846,-2.555,0,0.0787,139.941,0.619,229840,Absolute Zero,65
95,0.000249,0.375,0.923,0PXN1OO2OuNyM9uGEBc8KE,0.0,9,0.431,-3.229,0,0.0538,162.009,0.35,196296,Here I Am - Radio Edit,0
97,5.86e-05,0.514,0.917,0m5PQFyWWwclSA0T813jnU,7.04e-05,10,0.309,-3.612,1,0.0506,96.026,0.48,192506,Would You Still Be There,59
99,4.82e-05,0.409,0.992,7gYL9E5WN7Nd8l2ZQ1rkKI,2.03e-06,3,0.1,-2.803,0,0.108,149.859,0.344,200676,Paranoia,2
101,0.000248,0.541,0.968,3sHH7lklbfpcraDDvYnjo7,8.28e-06,0,0.423,-4.129,1,0.0396,125.04,0.505,311813,Bat Country,67
103,0.000325,0.282,0.969,2uvj4jxA8brtflb7HZzLqp,0.0,11,0.558,-1.718,0,0.119,111.608,0.276,219000,Fight the Silence,32
105,0.00171,0.419,0.932,47IWLfIKOKhFnz1FUEUIkE,0.0,1,0.137,-3.604,0,0.106,169.881,0.445,268000,A Boy Brushed Red Living In Black And White,58
108,0.000443,0.547,0.963,0HAr4QR1xI8nwC7VfzYidu,0.0251,4,0.353,-2.337,0,0.0744,130.061,0.441,268586,Dead Memories,65
110,0.000281,0.399,0.974,7xsfPgbNn4cNSGVaNygXEQ,0.0517,4,0.137,-3.423,0,0.105,143.009,0.121,302160,Murder Mitten,51
112,0.000682,0.327,0.993,3vuRjBlVnYAlPRHPlvWfWU,0.0,6,0.132,-4.089,1,0.214,170.002,0.104,234546,Follow My Voice,0
114,0.00186,0.452,0.966,7nUAGYDRvPcxjuOUZMC2GP,7.53e-06,6,0.19,-2.87,1,0.0891,144.033,0.41,237400,Bulletproof Love,0
116,0.00523,0.408,0.947,4GtQt2pqCREazNHI8XI0UG,0.0,2,0.105,-3.162,0,0.0759,160.03,0.383,212546,The War Is On,12
118,1.7e-05,0.519,0.99,2I75GCnEOzCvNpxCR3XYZH,0.000251,1,0.0849,-3.805,0,0.0985,118.033,0.285,256866,Addicted To Pain,51
120,5.47e-05,0.53,0.955,1rJn58cYSDDHuRCOObXSVg,3e-05,1,0.346,-3.23,1,0.158,140.951,0.25,247026,Cold,33
122,0.00304,0.433,0.985,2UyYNCTFJDbEzQ72LOrsaI,0.0,4,0.0812,-3.115,0,0.165,107.539,0.125,240000,Let It Sleep,0
124,0.00381,0.499,0.972,6WAaIlPkYgPlMhrTUnr8Tu,0.0,7,0.179,-3.282,0,0.0847,93.003,0.373,291666,Break Me Out,35
126,0.000126,0.288,0.991,0OQmxZOINqWsbKysfiPSTO,3.77e-06,3,0.0902,-3.976,1,0.312,169.607,0.353,200036,Right Back At It Again,46
128,0.000496,0.273,0.96,7g8AkZ49NzPzRF0QE3iT8w,0.0,0,0.235,-4.091,1,0.158,107.213,0.14,227240,Foundation,23
130,0.000549,0.472,0.977,18tBa5KMHt4REJ7RrPBqPH,0.0,11,0.257,-1.683,0,0.113,134.987,0.354,252453,Break the Cycle (feat. Matty Mullins),38
133,0.00151,0.417,0.954,4hiOIqf9nVmGVNI6LS5JPd,0.0,11,0.407,-4.152,0,0.0627,96.993,0.146,281332,The Black,0
135,0.00152,0.437,0.983,3kYaoz1uBWB3IGFwPQq1sy,0.0,10,0.468,-4.412,0,0.0931,156.919,0.499,235786,Prisoners of War,39
138,0.000487,0.473,0.974,1kuf1RvZwt5KzKSR52bBPS,0.0,11,0.348,-1.692,0,0.111,134.959,0.365,252026,Break the Cycle (feat. Matty Mullins),0
140,0.0024,0.46,0.951,10eDxSTjwMBq1ZjZK5b1cK,0.0,3,0.205,-4.732,1,0.101,143.036,0.214,224053,Millennia,51
143,0.705,0.316,0.596,5fG83KM7CgRmjcKwmBNx2p,0.0,7,0.102,-5.806,0,0.0282,147.842,0.563,277533,Tears Don't Fall - Acoustic Version,53
145,0.0149,0.548,0.855,6mlTvATQEWjvLHJJkmraiA,0.0,3,0.127,-3.266,1,0.151,145.133,0.644,218786,The Drug In Me Is You,0
148,6.57e-05,0.503,0.974,4quQVCnbwQ5kraewiIWFjV,0.0,0,0.726,-4.286,0,0.108,134.974,0.357,248493,Hope,42
150,0.000603,0.547,0.968,5jEPn1VWCNAsIbRqqZ9mXx,0.0,10,0.0839,-4.092,1,0.0733,128.06,0.205,239366,Prisoners,46
152,0.00018,0.425,0.99,1fXV02Qh6002zRidAcjFOg,0.0,4,0.0583,-2.895,0,0.163,135.232,0.206,241140,Stay The Course,37
155,0.000261,0.368,0.992,3n5C4Fvyi7zShktG82FRkE,0.0,6,0.278,-2.751,1,0.252,158.959,0.111,245861,My Generation,33
158,2.1e-05,0.425,0.936,1wFRkVclQWfMQQcaVLjmBE,0.0,8,0.926,-5.52,0,0.0829,158.046,0.417,219106,"If I'm James Dean, You're Audrey Hepburn",59
161,3.28e-05,0.207,0.987,0mBkkx3EJX2MKDxnidvBVS,0.183,1,0.141,-5.17,1,0.0977,116.513,0.197,258106,Marianas Trench,0
163,0.000356,0.445,0.94,1EQcTEDuJ0tJ0Zi4OKQx9c,0.000131,5,0.288,-5.618,1,0.116,130.081,0.127,269893,Machines,53
167,0.000291,0.683,0.829,39sN48Q2DIbyVK8i8kkqgF,0.00116,5,0.156,-5.564,0,0.0528,108.327,0.567,190906,Frontline,55
169,9.24e-05,0.45,0.986,1X6vl2Wy5yY708C8EfRUCS,0.0,7,0.183,-3.544,1,0.144,141.998,0.309,213866,Don't Lean On Me,54
171,0.000651,0.38,0.993,6d05C2cR01olKsCJoUvNgG,0.0,9,0.0797,-2.374,1,0.155,140.058,0.214,236426,No Ordinary Love,52
175,0.0148,0.511,0.942,0xAA90OfUjpnxCw4Rf162Q,4.45e-06,6,0.112,-3.254,0,0.107,118.002,0.515,252320,Miles Away - feat. Kellin Quinn,53
179,1.28e-05,0.339,0.995,0cE67n5CRWtr7LkOS9sRPa,0.000194,1,0.357,-2.764,1,0.241,172.023,0.299,246278,I Will Never Lose My Way,33
181,0.000515,0.415,0.988,12EhOKHAvqXDMilwuVwrCH,1.2e-05,1,0.0769,-3.581,1,0.157,103.04,0.211,291775,Move It,40
183,1.41e-05,0.207,0.977,4SAeLRKTvdvEKUvpYIoBzT,0.0,1,0.296,-2.583,0,0.193,128.278,0.42,242066,The Sinner,50
186,0.00247,0.563,0.692,00PmlTNIEnJhL0yvFRHLXt,0.0,6,0.0565,-3.926,1,0.0574,77.059,0.629,218546,I Knew You Were Trouble,0
188,2.92e-05,0.383,0.973,1fHpIPZ2kQdu8P5BvKLSjP,0.0,11,0.408,-2.305,0,0.0691,95.106,0.264,204817,The Death of Me - Rock Mix,26
190,0.00878,0.233,0.943,0Fk2NcRQpungRyAx9Y6KTk,0.0,2,0.359,-3.443,0,0.171,149.992,0.0501,213640,A Prophecy,54
194,1.2e-05,0.559,0.868,7oL13WHjhUFhVq9POP7qfC,0.00394,11,0.0418,-4.738,0,0.0475,140.021,0.684,264373,Say You'll Haunt Me,56
197,0.000181,0.418,0.925,1lVHnLjYNIPO5PtQVA4qsQ,0.0,5,0.107,-5.293,0,0.0696,174.756,0.569,219626,Goodbye,43
200,0.00777,0.675,0.97,7F3nH4VaOovnrlWmGixG5Z,0.0,8,0.331,-2.164,1,0.0613,106.973,0.568,213371,Fashionably Late,0
202,0.00201,0.25,0.959,7K1AWXb1n65uieyzeCRI5Z,0.0,8,0.157,-5.067,0,0.15,170.005,0.398,246053,Beautiful Nightmare,1
204,2.96e-05,0.433,0.951,5IJneieFMiNM7EtP50atji,0.0,1,0.19,-3.963,0,0.0509,178.009,0.815,177379,Massachusetts,0
206,0.00527,0.467,0.732,0LT7C0UoSeddG1IVGcoFl6,0.0,11,0.0715,-6.061,0,0.0665,159.96,0.35,288851,Sellouts,0
208,0.00364,0.358,0.959,313yF0VXTCmFFoYEJF7nBQ,0.000237,2,0.356,-3.139,0,0.0874,91.938,0.171,242413,Writing On The Walls,54
210,0.000237,0.354,0.982,61mWefnWQOLf90gepjOCb3,0.000294,4,0.204,-3.026,0,0.168,143.772,0.194,252613,Duality,74
213,0.00133,0.431,0.867,030VivB9zpV3UDaWdmjmWB,4.77e-05,5,0.522,-3.771,0,0.0475,135.087,0.31,227946,The Show Must Go on Prt. 1,0
215,9.48e-05,0.258,0.864,37254ZoTJ6BP6iyaxb9kDv,0.749,5,0.175,-4.92,0,0.0638,84.426,0.172,118680,The Show Must Go on Prt. 2,0
217,3.22e-05,0.339,0.891,7B9S4RiRczdw1B9ddjpFe8,0.115,2,0.388,-6.527,1,0.0522,102.925,0.542,255333,Freak On a Leash,7
220,0.00169,0.657,0.96,5bU4KX47KqtDKKaLM4QCzh,0.000997,5,0.109,-3.524,0,0.07,126.02,0.567,186066,Die MF Die,66
222,0.000561,0.434,0.927,6jVZ7QciffAVq0d4925tmE,0.0,9,0.167,-3.036,0,0.0561,102.551,0.348,233120,How Should I Know,0
225,0.00141,0.459,0.85,48sPWqixR6kpwypgem58rA,0.0,2,0.279,-4.152,1,0.0488,150.092,0.404,231200,I Won't Give In,1
227,0.000337,0.428,0.874,4xMCMVVZkE9tboSlNMygs9,0.0419,4,0.311,-6.664,0,0.128,119.708,0.261,212253,Roots Bloody Roots,1
230,5.03e-05,0.368,0.93,26095IcivgfeCsNSDswY71,2.18e-05,1,0.0858,-4.892,1,0.141,173.071,0.414,182560,Nothing For Me Here,45
233,0.000644,0.509,0.938,6rSuL1ViLO7Aljn2WD09s4,0.00246,11,0.14,-3.883,0,0.0715,94.019,0.335,204346,Whispers In The Dark,63
236,8.64e-05,0.354,0.985,7a0Zmtupswb9Faai3Yj3Eo,0.000168,7,0.902,-3.034,1,0.19,194.991,0.117,191874,Killing You,53
239,0.000232,0.472,0.943,5hKPv68Xf6xXRZeHiVpW3V,0.0,0,0.266,-4.431,0,0.0403,74.967,0.552,216946,Calling,35
241,0.000569,0.446,0.761,7IiqF2tYiixnpBcFjkocjA,0.0,3,0.182,-4.141,0,0.032,134.971,0.336,242593,Moving On,58
244,2.3e-05,0.491,0.951,0NdidkH0EQwG7mx6F6SDkI,0.00354,1,0.0424,-3.775,1,0.0465,106.948,0.555,269733,Fuel,8
246,0.000135,0.487,0.944,4A1jq5W97gi5ok44CgZiab,0.601,11,0.0905,-6.78,0,0.0823,96.552,0.392,312706,Battery,9
248,6.28e-05,0.37,0.981,6FVYwnVrnAEIRnY3bHJb46,0.00225,5,0.331,-3.296,1,0.0633,155.177,0.413,343600,Beast and the Harlot,60
250,0.0168,0.393,0.802,7HKRWMTErKh56EIBeFcmdf,0.0,5,0.193,-4.499,1,0.0367,140.101,0.338,334066,Seize the Day,60
252,0.000429,0.487,0.949,7zAt4tdL44D3VuzsvM0N8n,2.91e-05,2,0.231,-4.217,0,0.0798,110.02,0.406,352426,Afterlife,66
254,3.84e-05,0.416,0.963,13D36vAQxgYzwK1qI3IVGr,0.00047,6,0.274,-2.285,1,0.104,112.41,0.455,236293,King for a Day (feat. Kellin Quinn),1
256,0.00419,0.49,0.861,3EuiMoY8lTjAvIqNf8Uyr3,0.000111,5,0.302,-4.273,0,0.0488,93.984,0.586,187853,Feel Good Drag,51
259,3.21e-05,0.295,0.98,3ilqgSgOVG3u11thnU5ok8,0.0,2,0.359,-4.075,0,0.0854,134.335,0.283,254613,You Want a Battle? (Here's a War),36
261,0.00366,0.654,0.928,3xktQXIr1OD3ENc19viwDP,0.002,4,0.139,-3.406,0,0.0717,130.951,0.52,201960,Bodies,19
264,3.78e-05,0.532,0.924,4V9VxdNaOD9DfKrKRbK91Q,1.83e-06,5,0.0919,-2.645,1,0.125,106.993,0.258,237493,Best Day,0
266,9.23e-05,0.455,0.861,00nTL5wFHP5IgJr2sHcQe7,3.58e-05,5,0.0711,-6.286,0,0.0397,105.982,0.553,203560,Never Back Down,50
269,0.00161,0.464,0.963,7eNCd5hipdcUscAHTguegq,0.0,0,0.196,-3.568,0,0.0484,160.071,0.528,230026,Empty Walls,2
271,0.000783,0.4,0.886,7q6BhGVElCaDYQqL3VhO5w,4.04e-05,7,0.132,-5.079,1,0.0513,196.052,0.408,228866,Angels Fall,10
273,0.000318,0.554,0.949,4UEo1b0wWrtHMC8bVqPiH8,9.98e-05,2,0.2,-4.928,1,0.0787,129.984,0.233,374453,Nightmare,70
275,0.000687,0.446,0.82,5nXwGh9Ya2VbPPp5w28nLb,0.00332,6,0.111,-5.198,0,0.0483,125.072,0.353,237975,End Of Me,44
277,0.000725,0.212,0.926,2UHsGTwOU7P3vFo6bQytlX,4.83e-06,7,0.081,-3.378,0,0.14,162.103,0.262,348386,Tears Don't Fall,47
279,0.0303,0.488,0.879,6hZkQjIQBY7HAj4nzLUvdx,0.0,6,0.288,-3.505,0,0.0514,94.003,0.483,225440,All These Things I Hate (Revolve Around Me),39
282,0.00229,0.532,0.878,6jg3Om6ZBMKlylforWGPEC,0.000282,5,0.0771,-4.431,0,0.0326,104.026,0.579,231666,War of Change,61
286,0.00116,0.359,0.955,5pRElcsPZrgZXkoON2o5Go,0.0,4,0.349,-2.323,0,0.12,170.033,0.446,230426,Comatose,65
289,1.01e-05,0.357,0.932,2kPNfupzN6RAk2ehFcmjPG,0.00093,6,0.0395,-4.196,1,0.0827,169.872,0.339,221949,Broken Generation,47
291,6.38e-05,0.448,0.879,45Uto4UhEPsCLDLFgtR4eY,0.000772,2,0.118,-6.361,0,0.047,94.99,0.218,258399,40 Days...,0
293,0.000129,0.364,0.955,6JrHK494fKTg8X0PfOfA0l,1.85e-05,5,0.116,-3.968,1,0.0755,165.998,0.469,219893,Never Giving Up,51
296,0.000213,0.238,0.967,6787Icu1eFhmxwxdG9mbL5,1.18e-06,4,0.26,-2.602,0,0.136,170.128,0.58,252002,The Vengeful One,4
298,0.00285,0.462,0.972,03jdl5GTBhKsgB1Yw8mVPh,0.0,7,0.666,-2.642,0,0.138,128.092,0.449,213576,In Between,61
301,0.0417,0.545,0.753,76aadnUFFANRNDs6L3aqxw,0.0,3,0.389,-4.618,0,0.036,105.754,0.434,282946,Through Glass,58
305,7.16e-06,0.502,0.892,5kzbtG4pIcu2s0SVrogm4o,6.47e-06,7,0.109,-5.456,1,0.0397,105.035,0.391,165760,Are You Ready,50
308,3.45e-05,0.467,0.894,3gWnfpfA2801VGzcyJwdvz,0.00779,1,0.0666,-4.832,1,0.0362,155.019,0.399,214853,Failure,7
311,1.08e-05,0.495,0.983,1cpjZQkKIGq258uiQNEtgg,0.0,8,0.084,-3.272,1,0.109,109.904,0.153,259959,Metalingus,1
313,0.000729,0.212,0.924,3iWlbqAaoIR7H7gyO3a6rV,2.23e-06,7,0.0831,-3.349,0,0.135,162.128,0.244,348386,Tears Don't Fall,63
316,0.00167,0.451,0.889,1Ym3JWJG8HFJU2NbXavZ6a,0.00215,1,0.258,-2.693,1,0.261,131.073,0.586,153800,Sugar,38
318,0.0168,0.288,0.987,28TReO2Mxk9Q3GA4K98YSz,0.0,4,0.264,-1.359,1,0.223,184.662,0.336,147960,Kill Rock 'n Roll - Explicit Album Version,59
320,0.0324,0.46,0.54,4KNgalfI2bdBX9ZZWt1Zc6,0.0168,5,0.326,-5.132,1,0.0381,137.855,0.0506,215440,Spiders,36
322,0.0533,0.548,0.957,5uMTA9SIe0sE4dnHHSHaYz,3.37e-06,1,0.683,-3.189,1,0.162,109.638,0.514,171800,Vicinity Of Obscenity,54
324,0.00083,0.207,0.972,6y2DHyCYf6azhUfXmnuH6w,0.0158,4,0.318,-3.21,0,0.186,180.798,0.364,200600,Question!,62
326,0.00216,0.474,0.994,39iyPZTQEy2VKXkT6FfnhA,0.126,8,0.314,-1.884,1,0.103,171.433,0.847,132733,F**k The System,53
328,0.000126,0.626,0.791,17cKTJIWIHTeTmdgNs77DL,0.0219,0,0.439,-2.734,1,0.0721,133.204,0.433,188600,I-E-A-I-A-I-O,57
330,0.000201,0.446,0.953,44BcrZYsYkM2YrPXkMduxz,0.0241,5,0.357,-2.268,0,0.0989,120.013,0.232,153773,Innervision,46
333,0.00046,0.377,0.99,47EqCQZG5v4o0WFMufGf5S,5.86e-06,1,0.259,-1.594,1,0.0611,110.706,0.761,131706,Cigaro,62
335,0.0279,0.458,0.958,249Z7XT6mf8B2zuI0RaeS0,0.0,6,0.108,-2.331,1,0.0854,142.706,0.589,211333,Violent Pornography,66
337,0.598,0.295,0.797,0GrHWVTDsaWcD4nrCGr7VE,0.000427,8,0.125,-3.193,0,0.0301,150.301,0.107,320693,Lost In Hollywood,65
339,0.0303,0.274,0.92,6oO7WMjD6kEvCITLbVj0mu,0.000412,6,0.115,-4.096,1,0.0489,153.986,0.0397,189440,Hypnotize,67
341,0.000114,0.334,0.986,26i37IFvFmC3517jxxZAJP,0.0353,4,0.0805,-1.046,0,0.0576,124.668,0.48,476266,The Day That Never Comes,6
343,0.000319,0.649,0.896,4ImIJRZNJhNQLLdUFSYJoS,1.19e-05,10,0.102,-2.704,0,0.056,90.009,0.924,278706,Down With The Sickness,71
346,0.0431,0.64,0.957,2UREu1Y8CO4jXkbvqAtP7g,0.0,8,0.0789,-2.336,1,0.0741,134.992,0.692,178013,Monster,73
350,8.51e-05,0.404,0.969,4VGUcTzWj0ebZ0UgI9irJL,0.0114,8,0.268,-2.938,1,0.195,173.878,0.29,245109,Stricken,3
352,0.112,0.584,0.536,6J7cSyvSCnPwv3vqHchEfL,0.0,10,0.456,-8.158,1,0.0279,126.996,0.44,243226,If It Means a Lot to You,67
354,0.00252,0.576,0.989,5Pm9uuEL0q6aXSRT3161UP,0.0032,2,0.0243,-1.909,1,0.112,135.093,0.352,283400,Psychosocial,50
356,0.000504,0.581,0.887,5eek2X5459T1HoYJk2CKXv,0.00111,4,0.268,-3.659,0,0.0624,90.578,0.724,199893,Last Resort,78
359,0.00206,0.579,0.824,1hKdDCpiI9mqz1jVHRKG0E,0.00903,6,0.059,-8.71,0,0.03,123.331,0.635,331573,Enter Sandman,22
361,0.00461,0.498,0.83,0M955bMOoilikPXwKLYpoi,0.0,6,0.139,-5.157,0,0.0421,89.342,0.453,231480,I Hate Everything About You,68
364,0.00804,0.416,0.741,5PZ2cqh9Yem2g6cTSOLllz,0.0,7,0.273,-4.001,1,0.0335,160.515,0.286,202973,Pain,66
366,0.00838,0.433,0.778,3HE50TVRquwXe9yv2HFoNL,0.0,2,0.163,-4.68,0,0.0371,149.864,0.217,209333,Never Too Late,68
368,0.0104,0.185,0.948,1Q2fYlSdwuutWj3QplhY9q,0.0,8,0.105,-3.892,1,0.147,196.578,0.316,207586,Riot,68
370,0.000684,0.553,0.853,56sk7jBpZV0CD31G9hEU3b,0.0,8,0.126,-3.668,1,0.0339,122.023,0.506,231400,Animal I Have Become,71
374,0.000376,0.585,0.887,5anCkDvJ17aznvK5TED5uo,0.0518,3,0.132,-5.086,0,0.0362,118.035,0.711,305906,Hail to the King,73
376,0.000133,0.386,0.943,6RcsAN8XF5KX6mMh6dum8e,0.0,5,0.0928,-3.033,0,0.185,148.008,0.402,239127,Pittsburgh - No Intro,58
378,0.0423,0.487,0.525,3gBPTRV6R7IwVfuo6Bn25x,0.0,3,0.0811,-5.637,0,0.0292,135.035,0.284,243555,Moving On - Acoustic,41
380,0.000395,0.406,0.981,7MchRrR4M9c6IAjyNvC8Sv,0.0,11,0.423,-4.16,0,0.12,149.982,0.163,215700,Undivided,0
382,6.71e-05,0.395,0.954,4mfXuV5q33ab0EqFK7Ym2E,0.0147,10,0.143,-4.388,0,0.0748,167.082,0.355,200226,The Diary Of Jane,11
386,2.53e-05,0.342,0.981,3imITUqEhkebNbOoS1yrWm,0.0,2,0.343,-3.228,0,0.14,160.083,0.207,202640,All I Want,65
388,0.00182,0.417,0.968,42CWOvqqZF3JzWJHldoSKE,0.0,10,0.148,-4.589,0,0.0697,170.046,0.679,188173,What Can I Say,0
390,0.000335,0.528,0.977,3GBLXhBXfhk6jlSshUTlkK,0.0,1,0.108,-4.294,0,0.0557,92.511,0.471,177786,Mystery,31
392,0.00791,0.533,0.967,4CbKVDZkYKdv69I4bCaKUq,0.0,1,0.336,-2.543,1,0.0995,142.018,0.782,186813,Hero,70
395,0.00277,0.612,0.666,1Jj35pWytKHrwh36IanRVh,0.0,4,0.286,-5.866,0,0.0317,120.048,0.353,242773,Fly On the Wall,52
398,0.00161,0.514,0.808,4bLL0KRNQyOr5beIjqTtZ0,0.000504,11,0.0603,-5.086,0,0.0506,159.967,0.409,221613,Welcome To The Masquerade,47
401,0.00021,0.376,0.95,6OMO6WdRhSfjMPAiPT94wH,0.0,9,0.0377,-4.067,1,0.0641,178.018,0.438,179160,Painkiller,65
404,1.29e-05,0.402,0.97,2UDumaw7osnyjH7RZ2DLpB,2.62e-06,2,0.189,-4.538,0,0.0668,75.106,0.476,200146,I Am Machine,65
407,0.000123,0.549,0.887,2mBYmMpD6YKxoY7WXvLTXt,0.000163,1,0.169,-5.306,0,0.0447,100.043,0.148,280350,Don't Pray For Me,48
409,4.33e-05,0.441,0.972,72ukb9x8WEVaRUNPzl2MC9,0.111,1,0.184,-3.873,0,0.0623,94.993,0.235,258898,The Death Of Me,52
